Cod_CP,Nome_CP,Nome_professione (vedi esempi),Annuncio
6.2.4.1.3,Elettromeccanici,Manutentore elettromeccanico,"Randstad Technical di Vimercate seleziona un manutentore per inserimento in somministrazione presso azienda del settore gomma plastica. La risorsa si occuperà della manutenzione ordinaria e straordinaria di presse a iniezione idrauliche  ed elettriche, di attrezzature elettromeccaniche e degli impianti del plant produttivo. Requisiti: diploma o qualifica in ambito meccanico o elettromeccanico; esperienza nella mansione di almeno 3 anni; disponibilità al lavoro sia a giornata che su tre turni; flessibilità, precisione, capacità organizzative, proattività"
6.2.4.1.3,Elettromeccanici,Manutentore elettromeccanico,"Quanta SpA, Filiale di Verona, seleziona per azienda cliente del settore metalmeccanico un manutentore elettromeccanico. La risorsa avrà la responsabilità della manutenzione degli impianti produttivi per la lavorazione dei metalli. Si richiede pregressa esperienza nel ruolo e disponibilità a lavorare a turni. L'inquadramento sarà commisurato all'esperienza del candidato. Il luogo di lavoro è Trevenzuolo"
6.2.4.1.3,Elettromeccanici,Tecnico elettromeccanico,"Kelly Services, multinazionale americana leader nelle Risorse Umane, da oltre 60 anni è una delle società più apprezzate a livello mondiale per l'elevata qualità dei servizi offerti e per la professionalità del personale selezionato. Kelly offre a tutti i candidati, dai giovani in cerca della prima occupazione a quadri e dirigenti, stimolanti opportunità di lavoro a tempo determinato ed indeterminato, oltre a servizi di orientamento e formazione. Per maggiori informazioni consulta il sito www.kellyservices.it
La Filiale di Piacenza di Kelly Services Spa ricerca per azienda cliente operante nel metalmeccanico con sede in provincia di Piacenza:
TECNICO ELETTROMECCANICO
Il/la candidato/a ideale maturato almeno 5 anni di esperienza in attività di service e manutenzione elettromeccanica. Il ruolo prevedrà attività di manutenzione elettromeccanica ordinaria e straordinaria, ricerca guasti, interventi su sensori, telecamere e carrelli di scorrimento.
Gli interventi saranno effettuati prevalentemente nel Nord Italia (Piacenza, Parma, Lodi, Reggio Emilia e Modena), ma si tratterà di trasferte giornaliere. Si richiede la disponibilità alla reperibilità a rotazione al sabato. Requisiti: Diploma ad indirizzo elettrico/elettromeccanico; 
esperienza di almeno 5 anni in analoga mansione;  buona conoscenza di schemi elettrici; buone doti comunicative e buono standing; 
flessibilità; automunito/a."
6.2.4.1.3,Elettromeccanici,Manutentore elettromeccanico,"Lavoropiù Everywhere, la divisione di Lavoropiù specializzata nella ricerca e selezione di profili internazionali, sta ricercando, per il sito produttivo di multinazionale italiana del settore alimentare fresco con sede negli Stati Uniti, un/a Manutentore Elettromeccanico con esperienza nella manutenzione di impianti automatici per il settore alimentare.
Manutentore Elettromeccanico
La risorsa, a diretto riporto del Direttore di Stabilimento, si occuperà principalmente delle seguenti mansioni: Responsabilità della manutenzione ordinaria e straordinaria degli impianti; Gestione ed analisi dei guasti; Gestione delle schede di manutenzione per ogni singola attrezzatura o impianto; Organizzazione e gestione degli stock di ricambio.
Requisiti:  Diploma di Perito meccanico o elettronico o titolo equipollente; Esperienza di almeno 3 anni come manutentore elettromeccanico, provenienza da aziende strutturate del settore alimentare fresco oppure da realtà del settore packaging;"
6.2.4.1.3,Elettromeccanici,AGGIUSTATORE MECCANICO,"Randstad Italia filiale di Foligno ricerca per importante azienda cliente n. 2 AGGIUSTATORI MECCANICI. Si offre iniziale contratto di somministrazione e successivo inserimento diretto. Le risorse inserite dovranno occuparsi di aggiustaggio meccanico, eventuali attività di manutenzione macchinari cnc. Si richiede esperienza di aggiustaggio e manutenzione in ambito meccanico, elettrico o affine. Conoscenza disegno meccanico e degli strumenti/attrezzature per l'aggiustaggio. Diploma scuola superiore o Qualifica professionale"
6.2.4.1.3,Elettromeccanici,ADDETTI AL MONTAGGIO ELETTROMECCANICO,"Le risorse verranno inserite in produzione e si occuperanno del montaggio elettromeccanico di gruppi e parti meccaniche.
Si richiedono: diploma o attestato in ambito tecnico, pregressa, anche minima, esperienza in ambito produttivo, buona manualità, passione per il settore elettromeccanico, orientamento al risultato, predisposizione all’apprendimento, buone capacità relazionali e comunicative.
Si offre: inserimento in somministrazione con possibilità di assunzione diretta presso azienda cliente. L’inserimento sarà preceduto da un corso di formazione della durata di 3 settimane, in cui verranno approfondite le tematiche di base per la lettura del disegno meccanico bidimensionale e tridimensionale, l'utilizzo degli strumenti di misura, l'utilizzo dei principali attrezzi e utensili da banco e tecniche di aggiustaggio correlate, principi di oleodinamica e pneumatica e cablaggio di parti elettriche."
6.2.4.1.3,Elettromeccanici,ADDETTO ELETTRONICO ELETTROMECCANICO,"Per azienda specializzata nella progettazione e realizzazione di impianti per il trattamento termico di materiali, selezioniamo 1 ELETTRICISTA JUNIOR. 
Requisiti richiesti: diploma di Perito Elettronico/Elettrotecnico; esperienza di almeno 6 mesi nel ruolo; capacità di lettura degli schemi elettrici; disponibilità ad effettuare trasferte di medio/lunga durata Italia/Estero.
Sede di lavoro: vicinanze Pontida (BG)."
6.2.4.1.3,Elettromeccanici,MANUTENTORE ELETTROMECCANICO,"Per azienda operante nell'impiantistica industriale, si ricerca 1 RESPONSABILE MANUTENZIONE ELETTRICA. 
La figura ricercata sarà Responsabile della manutenzione sul cantiere di lavoro e dovrà occuparsi di gestire il personale, organizzare l'attività, coordinare le squadre di lavoro e pianificare le turnazioni, supervisionare e monitorare i lavori. Il candidato prescelto è in possesso dei seguenti requisiti: diploma (preferibilmente in ambito elettrico); pregressa esperienza nella mansione di almeno 2 anni; ottima conoscenza della manutenzione elettrica e meccanica; ottime capacità decisionali, ottima capacità di lavorare in team, di gestire il personale e di relazionarsi con il cliente. 
Si offre inserimento diretto in azienda con contratto a tempo indeterminato. Inquadramento e retribuzione commisurati all'esperienza maturata."
6.2.4.1.3,Elettromeccanici,Manutentore elettromeccanico,"Quanta SpA, filiale di Padova, ricerca, per azienda cliente, una figura professionale di 
Manutentore elettromeccanico da inserire all'interno del proprio stabilimento di Marghera.
La figura sarà adibita al controllo del buon andamento dell'impianto (silos) da cabina di controllo ed eseguendo la manutenzione ordinaria; sarà richiesto il suo intervento in caso di guasti o anomalie di funzionamento. Si occuperà inoltre della gestione delle materie in arrivo per l'invio al carico. titolo di studio in ambito elettromeccanico o automazione o affine; flessibilità oraria e disponibilità a lavorare sporadicamente il sabato; esperienza di almeno 3 anni nella medesima mansione; padronanza dello strumento informatico; precisione, affidabilità.
"
6.2.4.1.3,Elettromeccanici,MANUTENTORE ELETTROMECCANICO,"La risorsa svolgerà attività di primo intervento su guasto macchine e interventi su manutenzioni relative allo stabilimento. Eseguirà la manutenzione ordinaria e straordinaria, l’individuazione e riparazione del guasto. Requisiti richiesti: Conoscenze in ambito elettrico industriale, elettronica, pneumatica/oleodinamica, meccanica ed elettromeccanica; Capacità di lavorare in team; Disponibilità immediata.
Packaging retributivo commisurato all'esperienza."
6.2.4.1.3,Elettromeccanici,Operaio specializzato elettromeccanico,"La figura sarà adibita al controllo del buon andamento dell'impianto da cabina di controllo ed eseguendo la manutenzione ordinaria; sarà richiesto il suo intervento in caso di guasti o anomalie di funzionamento.  titolo di studio in ambito elettromeccanico o automazione o affine; disponibilità al lavoro su turni a ciclo continuo; esperienza di almeno 3 anni nella medesima mansione; padronanza dello strumento informatico;  precisione, affidabilità."
6.2.4.1.3,Elettromeccanici,MANUTENTORE ELETTROMECCANICO,"La risorsa si occuperà di effettuare manutenzioni ordinarie e straordinarie di tipo elettrico e meccanico presso impianti industriali operando sia autonomamente che in team.  Requisiti: diploma indirizzo elettronico o meccanico; pregressa esperienza come manutentore elettromeccanico; capacità di lettura degli schemi elettrici e del disegno meccanico; disponibilità a trasferte sul territorio nazionale.
Sede di lavoro: Ferrara ed Occhiobello Si offre: assunzione diretta con contratto a tempo determinato, scopo assunzione a tempo indeterminato."
6.2.4.1.3,Elettromeccanici,MANUTENTORE ELETTROMECCANICO JUNIOR,"La figura professionale, dopo un periodo di affiancamento, seguirà le seguenti attività: manutenzione elettrica, ordinaria e straordinaria, dei macchinari e di piccoli impianti sia presso le aziende clienti sia all'interno della sede; manutenzione meccanica ordinaria.
Competenze ed esperienze richieste. I requisiti fondamentali per lo svolgimento del ruolo sono: Conoscenza del disegno meccanico e degli schemi elettrici;
Possesso diploma meccanico/elettrico /elettromeccanico; Perferibile esperienza come manutentore.
Completano il profilo: capacità di lavoro in team, organizzazione e gestione del tempo, buona manualità, dinamicità e spirito di iniziativa.
Tipo di assunzione: contratto a tempo determinato scopo assunzione.
Retribuzione: commisurata all'esperienza e definita con la Direzione Aziendale."
6.2.4.1.3,Elettromeccanici,MANUTENTORE ELETTROMECCANICO,"UN MANUTENTORE ELETTROMECCANICO JR 
La risorsa selezionata verrà inserita con contratto di somministrazione all'interno del team manutenzione, ed imparerà ad occuparsi di manutenzione ordinaria e straordinaria, ricerca guasti, sostituzione ed aggiustaggio pezzi. Necessario diploma ad indirizzo tecnico meccanico e buona conoscenza del disegno tecnico, sarà considerato requisito preferenziale aver maturato breve esperienza precedente in medesima mansione. Richiesta disponibilità al lavoro a giornata e su 2 turni, completano il profilo proattività, curiosità ed ottime doti relazionali.
Durata contratto: inserimento a tempo determinato con possibilità di assunzione presso azienda cliente"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Il candidato dovrà garantire la corretta manutenzione elettromeccanica ordinaria e straordinaria degli impianti di produzione. Si occuperà di:
Manutenzione elettromeccanica ordinaria e straordinaria su tutti gli impianti
Analisi delle cause dei problemi elettromeccanici per la loro risoluzione e messa in atto di azioni preventive
Collaborazione nella modifica delle linee produttive relativamente alla parte elettrica e meccanica
Compilazione e aggiornamento della reportistica per rendicontare le modifiche effettuate
Il candidato dovrà possedere i seguenti requisiti: Diploma in materie tecniche; Esperienza pregressa nel ruolo di almeno 3 anni; Buone competenze di meccanica, pneumatica e lettura schemi elettrici."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"cerchiamo n.1 MANUTENTORE ELETTROMECCANICO.
Si richiede diploma in ambito elettrico/elettronico, buona conoscenza della lingua inglese, esperienza pregressa nella mansione e disponibilità a brevi trasferte sul territorio nazionale.  Si offre iniziale contratto a tempo determinato in somministrazione, scopo assunzione."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"MANUTENTORE ELETTROMECCANICO
La figura ricerca dovrà svolgere le seguenti attività:
manutenzione interna all'azienda ed interventi esterni lettura schemi elettrici. Il candidato ideale dovrà avere le seguenti caratteristiche: diploma di perito elettronico/elettrico; 2/3 anni di esperienza nel settore; conoscenza base del linguaggio PLC/SIEMENS; residenza zone limitrofe al luogo di lavoro"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"La risorsa si occuperà di manutenzioni ordinarie e straordinarie. Sono richiesti: Esperienza nella mansione; Capacità di lavorare in team; Disponibilità a lavorare su ciclo continuo; Si offre: Inserimento diretto in azienda. Orario di lavoro: Full time, ciclo continuo con giorni di riposo a rotazione."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Randstad Technical di Alba seleziona un manutentore elettromeccanico per azienda cliente leader nel settore alimentare. Sarai inserito in un solido contesto produttivo dove ti occuperai della manutenzione elettrica e meccanica, ordinaria e straordinaria degli impianti industriali. Requisiti per la candidatura: In possesso di diploma ad indirizzo tecnico o titolo equipollente; Ottima conoscenza del disegno tecnico e degli schemi elettrici;  Esperienza nella mansione; Ottima conoscenza di impianti elettrici e meccanici industriali."
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Randstad  divisione Techncial  per rinomata azienda cliente operante nel settore food  ricerca un Manutentore Elettromeccanico. La ricerca è rivolta a candidati con comprovata esperienza (minimo tre anni) nella manutenzione elettromeccanica.
La risorsa risponderà al responsabile dell’area e si occuperà in maniera autonoma della manutenzione delle linee di confezionamento presenti in reparto produttivo.
In particolare, la risorsa si occuperà di:individuazione dei guasti; Implementazione di attività correttive per la ripartenza della macchina (tramite riparazioni elettriche e meccaniche); Analisi approfondita delle cause dei problemi elettromeccanici riscontrati e messa in atto di azioni preventive. Si richiedono:
Diploma o qualifica in ambito elettrico/meccanico;
Esperienza di almeno di 3 anni in contesti produttivi complessi e in aziende di processo;
Conoscenza di elementi di meccanica, oleodinamica e pneumatica, capacità di interpretazione di schemi elettrici e pneumatici, capacità di ricerca dei guasti e relativa diagnosi, controllo ingressi/uscite PLC;
Gradito il patentino generatori di vapore 2° livello;
Disponibilità a lavorare su tre turni (6.00/14.00 – 14.00/22.00 – 22.00/6.00);
Capacità di lavoro efficace sia in autonomia che in team;
Completano il profilo doti quali precisione, puntualità e proattività"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"La risorsa dovrà garantire la continuità del ciclo produttivo, intervenendo su macchine e impianti per prevenire o riparare guasti e anomalie di funzionamento.

Nel dettaglio si occuperà di:
Eseguire interventi di manutenzione elettromeccanica ordinaria, preventiva e straordinaria sugli impianti automatizzati e le linee di processo nell’ottica di minimizzare i fermi di produzione;
Eseguire i cambi formato richiesti;
Gestire in autonomia i fermi macchina programmati, garantendo interventi risolutivi sulle parti meccaniche, elettriche, oleodinamiche e pneumatiche;
Diagnostica di guasti/malfunzionamenti tramite PLC;
Verifica conformità delle linee produttive rispetto agli standard produttivi e di sicurezza intervenendo su eventuali anomalie a livello meccanico/elettrico;
Effettuare piccoli aggiustaggi o interventi di modifica sulle linee e gli impianti attraverso l’utilizzo di macchine utensili tradizionali e/o saldature.
 
Il candidato ideale:
Ha maturato esperienza pregressa di almeno 5 anni nella manutenzione elettromeccanica c/o aziende FOOD/FARMACEUTICHE;
Dispone di buone competenze elettriche e meccaniche;
Dispone di conoscenze di base pneumatiche ed oleodinamiche;
Possiede una buona capacità di lettura del disegno meccanico e degli schemi elettrici;
Dispone di un buon grado di conoscenza del linguaggio PLC;
Dispone di buona predisposizione al problemsolving e capacità di lavorare in team;
E’ disponibile a lavorare su giornata e su 2 turni.
"
6.2.4.1.3,Elettromeccanici,Manutentore Elettromeccanico,"Ricerchiamo per azienda di mediopiccole dimensioni settore metalmeccanico, un MANUTENTORE MECCANICO Esperto, per azienda del settore Chimico/Alimentare.

Requisiti tecnici: il candidato ideale rispondendo direttamente al Responsabile di Manutenzione, si occuperà di manutenzione elettrica e meccanica preventiva, ordinaria e straordinaria. Ha maturato precedente e consolidata esperienza nel ruolo, ha ottime conoscenze elettriche e una predisposizione alla meccanica di precisione.

Si richiedono: Buone capacità di lettura degli schemi elettrici e del disegno meccanico, Competenze e conoscenze nell'ambito elettrico e meccanico, Conoscenza del PLC, Precedente e significativa esperienza a livello di manutenzione e ricerca guasti preferibilmente all’interno di aziende di processo/produzione nel settore chimico e/o alimentare, Predisposizione di lavoro in team."
